filename,fold,target,category,esc10,src_file,take
cross_p7s1_cycle_004.wav,1,0,normal,False,p7s1,4
cross_p7s1_cycle_006.wav,2,0,normal,False,p7s1,6
cross_p7s1_cycle_008.wav,3,0,normal,False,p7s1,8
cross_p7s1_cycle_010.wav,4,0,normal,False,p7s1,10
cross_p7s1_cycle_012.wav,5,0,normal,False,p7s1,12
cross_p7s1_cycle_014.wav,1,0,normal,False,p7s1,14
cross_p7s1_cycle_016.wav,2,0,normal,False,p7s1,16
cross_p7s1_cycle_018.wav,3,0,normal,False,p7s1,18
cross_p7s1_cycle_020.wav,4,0,normal,False,p7s1,20
cross_p7s1_cycle_022.wav,5,0,normal,False,p7s1,22
cross_p7s1_cycle_024.wav,1,0,normal,False,p7s1,24
cross_p7s1_cycle_026.wav,2,0,normal,False,p7s1,26
cross_p7s1_cycle_028.wav,3,0,normal,False,p7s1,28
cross_p7s1_cycle_030.wav,4,0,normal,False,p7s1,30
cross_p7s1_cycle_032.wav,5,0,normal,False,p7s1,32
cross_p7s1_cycle_034.wav,1,0,normal,False,p7s1,34
cross_p7s1_cycle_036.wav,2,0,normal,False,p7s1,36
cross_p7s1_cycle_038.wav,3,0,normal,False,p7s1,38
cross_p7s1_cycle_040.wav,4,0,normal,False,p7s1,40
cross_p7s1_cycle_042.wav,5,0,normal,False,p7s1,42
cross_p7s1_cycle_044.wav,1,0,normal,False,p7s1,44
cross_p7s1_cycle_046.wav,2,0,normal,False,p7s1,46
cross_p7s1_cycle_048.wav,3,0,normal,False,p7s1,48
cross_p7s1_cycle_054.wav,4,0,normal,False,p7s1,54
cross_p7s1_cycle_056.wav,5,0,normal,False,p7s1,56
cross_p7s1_cycle_058.wav,1,0,normal,False,p7s1,58
cross_p7s1_cycle_062.wav,2,0,normal,False,p7s1,62
cross_p7s1_cycle_064.wav,3,0,normal,False,p7s1,64
cross_p7s1_cycle_066.wav,4,0,normal,False,p7s1,66
cross_p7s1_cycle_068.wav,5,0,normal,False,p7s1,68
cross_p7s1_cycle_070.wav,1,0,normal,False,p7s1,70
cross_p7s1_cycle_072.wav,2,0,normal,False,p7s1,72
cross_p7s1_cycle_074.wav,3,0,normal,False,p7s1,74
cross_p7s1_cycle_076.wav,4,0,normal,False,p7s1,76
cross_p7s1_cycle_078.wav,5,0,normal,False,p7s1,78
cross_p7s1_cycle_080.wav,1,0,normal,False,p7s1,80
cross_p7s1_cycle_082.wav,2,0,normal,False,p7s1,82
cross_p7s1_cycle_084.wav,3,0,normal,False,p7s1,84
cross_p7s1_cycle_086.wav,4,0,normal,False,p7s1,86
cross_p7s1_cycle_088.wav,5,0,normal,False,p7s1,88
cross_p7s1_cycle_090.wav,1,0,normal,False,p7s1,90
cross_p7s1_cycle_092.wav,2,0,normal,False,p7s1,92
cross_p7s1_cycle_094.wav,3,0,normal,False,p7s1,94
cross_p7s1_cycle_096.wav,4,0,normal,False,p7s1,96
cross_p7s1_cycle_098.wav,5,0,normal,False,p7s1,98
cross_p7s1_cycle_100.wav,1,0,normal,False,p7s1,100
cross_p7s1_cycle_102.wav,2,0,normal,False,p7s1,102
cross_p7s1_cycle_104.wav,3,0,normal,False,p7s1,104
cross_p7s1_cycle_106.wav,4,0,normal,False,p7s1,106
cross_p7s1_cycle_112.wav,5,0,normal,False,p7s1,112
cross_p7s1_cycle_114.wav,1,0,normal,False,p7s1,114
cross_p7s1_cycle_116.wav,2,0,normal,False,p7s1,116
cross_p7s1_cycle_118.wav,3,0,normal,False,p7s1,118
cross_p7s1_cycle_120.wav,4,0,normal,False,p7s1,120
cross_p7s1_cycle_122.wav,5,0,normal,False,p7s1,122
cross_p7s1_cycle_124.wav,1,0,normal,False,p7s1,124
cross_p7s1_cycle_126.wav,2,0,normal,False,p7s1,126
cross_p7s1_cycle_128.wav,3,0,normal,False,p7s1,128
cross_p7s1_cycle_130.wav,4,0,normal,False,p7s1,130
cross_p7s1_cycle_132.wav,5,0,normal,False,p7s1,132
cross_p7s1_cycle_134.wav,1,0,normal,False,p7s1,134
cross_p7s1_cycle_136.wav,2,0,normal,False,p7s1,136
cross_p7s1_cycle_138.wav,3,0,normal,False,p7s1,138
cross_p7s1_cycle_142.wav,4,0,normal,False,p7s1,142
cross_p7s1_cycle_144.wav,5,0,normal,False,p7s1,144
cross_p7s1_cycle_146.wav,1,0,normal,False,p7s1,146
cross_p7s1_cycle_148.wav,2,0,normal,False,p7s1,148
cross_p7s1_cycle_150.wav,3,0,normal,False,p7s1,150
cross_p7s1_cycle_152.wav,4,0,normal,False,p7s1,152
cross_p7s1_cycle_154.wav,5,0,normal,False,p7s1,154
cross_p7s1_cycle_156.wav,1,0,normal,False,p7s1,156
cross_p7s1_cycle_158.wav,2,0,normal,False,p7s1,158
cross_p7s1_cycle_160.wav,3,0,normal,False,p7s1,160
cross_p7s1_cycle_162.wav,4,0,normal,False,p7s1,162
cross_p7s1_cycle_164.wav,5,0,normal,False,p7s1,164
cross_p7s1_cycle_166.wav,1,0,normal,False,p7s1,166
cross_p7s1_cycle_168.wav,2,0,normal,False,p7s1,168
cross_p7s1_cycle_170.wav,3,0,normal,False,p7s1,170
cross_p7s1_cycle_172.wav,4,0,normal,False,p7s1,172
cross_p7s1_cycle_174.wav,5,0,normal,False,p7s1,174
cross_p7s1_cycle_176.wav,1,0,normal,False,p7s1,176
cross_p7s1_cycle_178.wav,2,0,normal,False,p7s1,178
cross_p7s1_cycle_180.wav,3,0,normal,False,p7s1,180
cross_p7s1_cycle_182.wav,4,0,normal,False,p7s1,182
cross_p7s1_cycle_184.wav,5,0,normal,False,p7s1,184
cross_p7s1_cycle_186.wav,1,0,normal,False,p7s1,186
cross_p7s1_cycle_192.wav,2,0,normal,False,p7s1,192
cross_p7s1_cycle_194.wav,3,0,normal,False,p7s1,194
cross_p7s1_cycle_196.wav,4,0,normal,False,p7s1,196
cross_p7s1_cycle_198.wav,5,0,normal,False,p7s1,198
cross_p7s1_cycle_200.wav,1,0,normal,False,p7s1,200
cross_p7s1_cycle_202.wav,2,0,normal,False,p7s1,202
cross_p7s1_cycle_204.wav,3,0,normal,False,p7s1,204
cross_p7s1_cycle_206.wav,4,0,normal,False,p7s1,206
cross_p7s1_cycle_208.wav,5,0,normal,False,p7s1,208
cross_p7s1_cycle_210.wav,1,0,normal,False,p7s1,210
cross_p7s1_cycle_212.wav,2,0,normal,False,p7s1,212
cross_p7s1_cycle_214.wav,3,0,normal,False,p7s1,214
cross_p7s1_cycle_216.wav,4,0,normal,False,p7s1,216
cross_p7s1_cycle_218.wav,5,0,normal,False,p7s1,218
cross_p7s1_cycle_220.wav,1,0,normal,False,p7s1,220
cross_p7s1_cycle_227.wav,2,0,normal,False,p7s1,227
cross_p7s1_cycle_229.wav,3,0,normal,False,p7s1,229
cross_p7s1_cycle_231.wav,4,0,normal,False,p7s1,231
cross_p7s1_cycle_233.wav,5,0,normal,False,p7s1,233
cross_p7s1_cycle_235.wav,1,0,normal,False,p7s1,235
cross_p7s1_cycle_237.wav,2,0,normal,False,p7s1,237
cross_p7s1_cycle_239.wav,3,0,normal,False,p7s1,239
cross_p7s1_cycle_241.wav,4,0,normal,False,p7s1,241
cross_p7s1_cycle_243.wav,5,0,normal,False,p7s1,243
cross_p7s1_cycle_245.wav,1,0,normal,False,p7s1,245
cross_p7s1_cycle_247.wav,2,0,normal,False,p7s1,247
cross_p7s1_cycle_249.wav,3,0,normal,False,p7s1,249
cross_p7s1_cycle_251.wav,4,0,normal,False,p7s1,251
cross_p7s1_cycle_253.wav,5,0,normal,False,p7s1,253
cross_p7s1_cycle_255.wav,1,0,normal,False,p7s1,255
cross_p7s1_cycle_257.wav,2,0,normal,False,p7s1,257
cross_p7s1_cycle_259.wav,3,0,normal,False,p7s1,259
cross_p7s1_cycle_261.wav,4,0,normal,False,p7s1,261
cross_p7s1_cycle_263.wav,5,0,normal,False,p7s1,263
cross_p7s1_cycle_267.wav,1,0,normal,False,p7s1,267
cross_p7s1_cycle_269.wav,2,0,normal,False,p7s1,269
cross_p7s1_cycle_271.wav,3,0,normal,False,p7s1,271
cross_p7s1_cycle_273.wav,4,0,normal,False,p7s1,273
cross_p7s1_cycle_275.wav,5,0,normal,False,p7s1,275
cross_p7s1_cycle_277.wav,1,0,normal,False,p7s1,277
cross_p7s1_cycle_279.wav,2,0,normal,False,p7s1,279
cross_p7s1_cycle_281.wav,3,0,normal,False,p7s1,281
cross_p7s1_cycle_283.wav,4,0,normal,False,p7s1,283
cross_p7s1_cycle_285.wav,5,0,normal,False,p7s1,285
cross_p7s1_cycle_287.wav,1,0,normal,False,p7s1,287
cross_p7s1_cycle_289.wav,2,0,normal,False,p7s1,289
cross_p7s1_cycle_291.wav,3,0,normal,False,p7s1,291
cross_p7s1_cycle_293.wav,4,0,normal,False,p7s1,293
cross_p7s1_cycle_295.wav,5,0,normal,False,p7s1,295
cross_p7s1_cycle_297.wav,1,0,normal,False,p7s1,297
cross_p7s1_cycle_299.wav,2,0,normal,False,p7s1,299
cross_p7s1_cycle_301.wav,3,0,normal,False,p7s1,301
cross_p7s1_cycle_303.wav,4,0,normal,False,p7s1,303
cross_p7s1_cycle_307.wav,5,0,normal,False,p7s1,307
cross_p7s1_cycle_309.wav,1,0,normal,False,p7s1,309
cross_p7s1_cycle_311.wav,2,0,normal,False,p7s1,311
cross_p7s1_cycle_313.wav,3,0,normal,False,p7s1,313
cross_p7s1_cycle_315.wav,4,0,normal,False,p7s1,315
cross_p7s1_cycle_317.wav,5,0,normal,False,p7s1,317
cross_p7s1_cycle_319.wav,1,0,normal,False,p7s1,319
cross_p7s1_cycle_321.wav,2,0,normal,False,p7s1,321
cross_p7s1_cycle_323.wav,3,0,normal,False,p7s1,323
cross_p7s1_cycle_325.wav,4,0,normal,False,p7s1,325
cross_p7s1_cycle_327.wav,5,0,normal,False,p7s1,327
cross_p7s1_cycle_329.wav,1,0,normal,False,p7s1,329
cross_p7s1_cycle_331.wav,2,0,normal,False,p7s1,331
cross_p7s1_cycle_333.wav,3,0,normal,False,p7s1,333
cross_p7s1_cycle_335.wav,4,0,normal,False,p7s1,335
cross_p7s1_cycle_339.wav,5,0,normal,False,p7s1,339
cross_p7s1_cycle_341.wav,1,0,normal,False,p7s1,341
cross_p7s1_cycle_343.wav,2,0,normal,False,p7s1,343
cross_p7s1_cycle_345.wav,3,0,normal,False,p7s1,345
cross_p7s1_cycle_347.wav,4,0,normal,False,p7s1,347
cross_p7s1_cycle_349.wav,5,0,normal,False,p7s1,349
cross_p7s1_cycle_351.wav,1,0,normal,False,p7s1,351
cross_p7s1_cycle_353.wav,2,0,normal,False,p7s1,353
cross_p7s1_cycle_355.wav,3,0,normal,False,p7s1,355
cross_p7s1_cycle_359.wav,4,0,normal,False,p7s1,359
cross_p7s1_cycle_361.wav,5,0,normal,False,p7s1,361
cross_p7s1_cycle_363.wav,1,0,normal,False,p7s1,363
cross_p7s1_cycle_365.wav,2,0,normal,False,p7s1,365
cross_p7s1_cycle_367.wav,3,0,normal,False,p7s1,367
cross_p7s1_cycle_369.wav,4,0,normal,False,p7s1,369
cross_p7s1_cycle_371.wav,5,0,normal,False,p7s1,371
cross_p7s1_cycle_373.wav,1,0,normal,False,p7s1,373
cross_p7s1_cycle_375.wav,2,0,normal,False,p7s1,375
cross_p7s1_cycle_382.wav,3,0,normal,False,p7s1,382
cross_p7s1_cycle_384.wav,4,0,normal,False,p7s1,384
cross_p7s1_cycle_386.wav,5,0,normal,False,p7s1,386
cross_p7s1_cycle_388.wav,1,0,normal,False,p7s1,388
